Aug 01, 2024 26.01 39.55 3.50
Aug 02, 2024 25.75 48.83 3.44
Aug 03, 2024 22.12 39.99 3.48
Aug 04, 2024 18.21 37.05 3.61
Aug 05, 2024 25.12 37.37 3.63
Aug 06, 2024 25.29 42.71 3.40
Aug 07, 2024 24.50 44.54 3.60
Aug 08, 2024 25.06 46.46 3.37
Aug 09, 2024 23.77 52.21 3.42
Aug 10, 2024 22.79 42.73 3.58
Aug 11, 2024 25.10 40.60 3.51
Aug 12, 2024 23.76 44.24 3.66
Aug 13, 2024 22.66 46.16 3.78
Aug 14, 2024 24.22 40.61 3.74
Aug 15, 2024 25.45 47.87 3.52
Aug 16, 2024 26.10 51.46 3.55
Aug 17, 2024 23.89 51.06 3.61
Aug 18, 2024 24.45 44.18 3.60
Aug 19, 2024 25.32 44.08 3.45
Aug 20, 2024 24.97 40.02 3.41
Aug 21, 2024 24.18 41.40 3.36
Aug 22, 2024 24.20 42.86 3.43
Aug 23, 2024 19.85 23.73 3.59
Aug 24, 2024 24.62 22.70 3.63
Aug 25, 2024 24.04 28.30 3.69
Aug 26, 2024 17.44 34.22 4.11
Aug 27, 2024 13.57 22.25 3.61
Aug 28, 2024 23.31 32.41 3.96
Aug 29, 2024 21.13 35.68 3.80
Aug 30, 2024 21.84 31.25 3.75
Aug 31, 2024 19.56 34.45 3.90

Sep 01, 2024 21.94 32.34 3.89
Sep 02, 2024 15.50 35.49 3.87
Sep 03, 2024 10.82 32.07 3.27
Sep 04, 2024 18.81 33.67 4.01
Sep 05, 2024 9.72 26.06 3.36
Sep 06, 2024 17.96 28.55 3.89
Sep 07, 2024 26.80 25.46 3.67
Sep 08, 2024 28.25 16.78 3.83
Sep 09, 2024 26.79 20.32 3.70
Sep 10, 2024 18.84 29.60 3.66
Sep 11, 2024 19.46 23.31 3.87
Sep 12, 2024 23.11 27.39 3.91
Sep 13, 2024 22.83 35.80 3.62
Sep 14, 2024 21.08 30.32 3.97
Sep 15, 2024 24.86 37.67 3.50
Sep 16, 2024 23.04 33.36 3.68
Sep 17, 2024 16.75 31.28 3.86
Sep 18, 2024 19.82 39.45 4.05
Sep 19, 2024 22.95 49.61 3.86
Sep 20, 2024 23.15 40.59 3.93
Sep 21, 2024 25.31 41.75 3.86
Sep 22, 2024 21.01 39.59 3.91
Sep 23, 2024 16.93 40.62 4.02
Sep 24, 2024 20.44 35.04 3.71
Sep 25, 2024 23.62 28.43 3.71
Sep 26, 2024 25.75 24.92 3.99
Sep 27, 2024 26.64 22.99 3.76
Sep 28, 2024 26.20 24.09 3.64
Sep 29, 2024 26.58 25.31 3.69
Sep 30, 2024 25.54 28.48 3.54

Oct 01, 2024 25.15 29.18 3.68
Oct 02, 2024 24.47 28.24 3.71
Oct 03, 2024 22.90 27.74 3.80
Oct 04, 2024 25.78 30.40 3.63
Oct 05, 2024 21.03 29.21 4.03
Oct 06, 2024 22.99 39.92 3.83
Oct 07, 2024 21.57 28.35 3.84
Oct 08, 2024 24.36 29.15 3.46
Oct 09, 2024 24.57 22.97 3.46
Oct 10, 2024 24.03 24.89 3.40
Oct 11, 2024 24.79 35.04 3.56
Oct 12, 2024 25.27 23.18 3.63
Oct 13, 2024 25.14 32.27 3.62
Oct 14, 2024 24.61 36.02 3.56
Oct 15, 2024 24.56 28.34 3.58
Oct 16, 2024 17.52 11.84 3.56
Oct 17, 2024 23.02 11.40 3.72
Oct 18, 2024 15.47 15.10 4.11
Oct 19, 2024 23.65 17.35 3.77
Oct 20, 2024 25.25 16.18 3.63
Oct 21, 2024 25.47 17.84 3.72
Oct 22, 2024 22.87 29.88 3.87
Oct 23, 2024 21.71 22.25 3.62
Oct 24, 2024 24.69 24.31 3.94
Oct 25, 2024 22.88 30.21 3.66
Oct 26, 2024 23.16 22.12 3.46
Oct 27, 2024 22.25 26.40 3.74
Oct 28, 2024 19.05 25.98 3.93
Oct 29, 2024 15.99 25.36 3.86
Oct 30, 2024 16.02 29.58 3.84
Oct 31, 2024 20.83 25.34 3.43
Nov 01, 2024 3.41 20.01 0.69
Nov 02, 2024 4.15 23.06 0.93
Nov 03, 2024 13.94 26.84 3.47
Nov 04, 2024 8.74 25.11 3.14
Nov 05, 2024 21.69 13.09 3.98
Nov 06, 2024 24.50 13.25 3.59
Nov 07, 2024 9.36 17.49 3.74
Nov 08, 2024 11.84 25.26 3.59
Nov 09, 2024 24.48 11.13 3.61
Nov 10, 2024 23.69 23.20 3.51
Nov 11, 2024 23.76 16.07 3.52
Nov 12, 2024 23.51 17.28 3.56
Nov 13, 2024 23.74 18.62 3.71
Nov 14, 2024 25.48 8.64 3.72
Nov 15, 2024 25.18 11.06 3.67
Nov 16, 2024 22.52 13.70 3.78
Nov 17, 2024 14.58 28.97 3.71
Nov 18, 2024 10.21 27.85 3.59
Nov 19, 2024 25.24 15.90 3.68
